Location ID,Observed Property ID,Analyzed DateTime,Depth,Depth Unit,Data Classification,Result Value,Result Unit,Lab: MDL,Latitude,Longitude
FB,Dissolved Reactive Phosphorus as P,2023-03-20 12:00:00.000+10:00,,,LAB,,mg/L,0.01,-33.7272,150.692296
FB,Nitrite as N,2023-03-20 12:00:00.000+10:00,,,LAB,,mg/L,0.01,-33.7272,150.692296
FB,Total Nitrogen as N,2023-03-20 12:00:00.000+10:00,,,LAB,0.6,mg/L,0.1,-33.7272,150.692296
FB,Total Phosphorus as P,2023-03-20 12:00:00.000+10:00,,,LAB,0.02,mg/L,0.01,-33.7272,150.692296
FB,Total suspended solids,2023-03-20 12:00:00.000+10:00,,,LAB,,mg/L,5,-33.7272,150.692296
FB,Coccoid Blue Green Picoplankton_Biovolume,2023-03-20 18:24:00.000+10:00,,,LAB,0.054,mm3/l,,-33.7272,150.692296
FB,Dolichospermum circinale_Cell count,2023-03-20 18:24:00.000+10:00,,,LAB,1283,cells/ml,,-33.7272,150.692296
FB,Coccoid Blue Green Picoplankton_Cell count,2023-03-20 18:24:00.000+10:00,,,LAB,121316,cells/ml,,-33.7272,150.692296
FB,Cuspidothrix issatschenkoi_Cell count,2023-03-20 18:24:00.000+10:00,,,LAB,2185,cells/ml,,-33.7272,150.692296
FB,Chlorophyll - a,2023-03-20 18:24:00.000+10:00,,,LAB,10.2,mg/m^3,,-33.7272,150.692296
FB,Cuspidothrix issatschenkoi_Biovolume,2023-03-20 18:24:00.000+10:00,,,LAB,0.118,mm3/l,,-33.7272,150.692296
FB,Total Cyanobacteria,2023-03-20 18:24:00.000+10:00,,,LAB,125100,cells/ml,,-33.7272,150.692296
FB,Enterococci,2023-03-20 18:24:00.000+10:00,,,LAB,1,cfu/100ml,,-33.7272,150.692296
FB,Aphanizomenonaceae_Cell count,2023-03-20 18:24:00.000+10:00,,,LAB,312,cells/ml,,-33.7272,150.692296
